locus_tag	ftype	length_bp	gene	EC_number	COG	product
AABHNHAC_00043	CDS	531	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
AABHNHAC_00044	CDS	1863	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
AABHNHAC_00045	CDS	591	folA	1.5.1.3	COG0262	Dihydrofolate reductase
AABHNHAC_00046	CDS	843	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]
AABHNHAC_00047	CDS	378	apaG		COG2967	Protein ApaG
AABHNHAC_00048	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
AABHNHAC_00049	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
AABHNHAC_00050	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
AABHNHAC_00051	CDS	2355	lptD		COG1452	LPS-assembly protein LptD
AABHNHAC_00052	CDS	816	djlA		COG1076	Co-chaperone protein DjlA
AABHNHAC_00053	CDS	651				hypothetical protein
AABHNHAC_00054	CDS	159				hypothetical protein
AABHNHAC_00055	CDS	660	rluA	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
AABHNHAC_00056	CDS	2907	rapA	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
AABHNHAC_00057	CDS	2352	polB	2.7.7.7	COG0417	DNA polymerase II
AABHNHAC_00058	CDS	696	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
AABHNHAC_00059	CDS	1503	araA	5.3.1.4	COG2160	L-arabinose isomerase
AABHNHAC_00060	CDS	1701	araB	2.7.1.16	COG1069	Ribulokinase
AABHNHAC_00061	CDS	879	araC			Arabinose operon regulatory protein
AABHNHAC_00062	CDS	765	yabI		COG0586	Inner membrane protein YabI
AABHNHAC_00063	CDS	699	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
AABHNHAC_00064	CDS	1611				hypothetical protein
AABHNHAC_00065	CDS	984	thiB		COG4143	Thiamine-binding periplasmic protein
AABHNHAC_00066	CDS	1656	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
AABHNHAC_00067	CDS	132	sgrT			Putative inhibitor of glucose uptake transporter SgrT
AABHNHAC_00068	CDS	1179	setA			Sugar efflux transporter A
AABHNHAC_00069	CDS	606	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
AABHNHAC_00070	CDS	1401	leuC_1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
AABHNHAC_00071	CDS	1092	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
AABHNHAC_00072	CDS	1572	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
AABHNHAC_00073	CDS	945	leuO			HTH-type transcriptional regulator LeuO
AABHNHAC_00074	CDS	1725	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
AABHNHAC_00075	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
AABHNHAC_00076	CDS	1005	cra		COG1609	Catabolite repressor/activator
AABHNHAC_00077	CDS	459	mraZ		COG2001	Transcriptional regulator MraZ
AABHNHAC_00078	CDS	942	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
AABHNHAC_00079	CDS	366	ftsL		COG3116	Cell division protein FtsL
AABHNHAC_00080	CDS	1767	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
AABHNHAC_00081	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
AABHNHAC_00082	CDS	1359	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
AABHNHAC_00083	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
AABHNHAC_00084	CDS	1317	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
AABHNHAC_00085	CDS	1245	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
AABHNHAC_00086	CDS	1068	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
AABHNHAC_00087	CDS	1476	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
AABHNHAC_00088	CDS	921	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
AABHNHAC_00089	CDS	831	ftsQ		COG1589	Cell division protein FtsQ
AABHNHAC_00090	CDS	1263	ftsA_1		COG0849	Cell division protein FtsA
AABHNHAC_00091	CDS	1152	ftsZ		COG0206	Cell division protein FtsZ
AABHNHAC_00092	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
AABHNHAC_00093	CDS	588	secM			Secretion monitor
AABHNHAC_00094	CDS	2706	secA		COG0653	Protein translocase subunit SecA
AABHNHAC_00095	CDS	390	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
AABHNHAC_00096	CDS	198	yacG		COG3024	DNA gyrase inhibitor YacG
AABHNHAC_00097	CDS	744	zapD		COG4582	Cell division protein ZapD
AABHNHAC_00098	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
AABHNHAC_00099	CDS	1044	guaC	1.7.1.7	COG0516	GMP reductase
AABHNHAC_00100	CDS	1203	epsF		COG1459	Type II secretion system protein F
AABHNHAC_00101	CDS	1386	epsE		COG2804	Type II secretion system protein E
AABHNHAC_00102	CDS	441				hypothetical protein
AABHNHAC_00103	CDS	894	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
AABHNHAC_00104	CDS	552	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
AABHNHAC_00105	CDS	855	ampE		COG3725	Protein AmpE
AABHNHAC_00106	CDS	1371	aroP		COG1113	Aromatic amino acid transport protein AroP
AABHNHAC_00107	CDS	765	pdhR_1		COG2186	Pyruvate dehydrogenase complex repressor
AABHNHAC_00108	CDS	2664	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
AABHNHAC_00109	CDS	1893	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
AABHNHAC_00110	CDS	1425	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
AABHNHAC_00111	CDS	1854				hypothetical protein
AABHNHAC_00112	CDS	2598	acnB	4.2.1.3	COG1049	Aconitate hydratase B
AABHNHAC_00113	CDS	363				hypothetical protein
AABHNHAC_00114	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
AABHNHAC_00115	CDS	867	speE	2.5.1.-	COG0421	Polyamine aminopropyltransferase
AABHNHAC_00116	CDS	309				hypothetical protein
AABHNHAC_00117	CDS	1551	cueO		COG2132	Blue copper oxidase CueO
AABHNHAC_00118	CDS	2391	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
AABHNHAC_00119	CDS	537	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
AABHNHAC_00120	CDS	663	can	4.2.1.1	COG0288	Carbonic anhydrase 2
AABHNHAC_00121	CDS	927	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
AABHNHAC_00122	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
AABHNHAC_00123	CDS	441				hypothetical protein
AABHNHAC_00124	CDS	1230				hypothetical protein
AABHNHAC_00125	CDS	381	panD	4.1.1.11		Aspartate 1-decarboxylase
AABHNHAC_00126	CDS	903				ISNCY family transposase ISSen7
AABHNHAC_00127	CDS	852	panC	6.3.2.1	COG0414	Pantothenate synthetase
AABHNHAC_00128	CDS	795	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
AABHNHAC_00129	CDS	1239	yadC			putative fimbrial-like protein YadC
AABHNHAC_00130	CDS	597	yadK			putative fimbrial-like protein YadK
AABHNHAC_00131	CDS	606	yadL			putative fimbrial-like protein YadL
AABHNHAC_00132	CDS	570	yadM			putative fimbrial-like protein YadM
AABHNHAC_00133	CDS	2598	htrE		COG3188	Outer membrane usher protein HtrE
AABHNHAC_00134	CDS	741	yadV			putative fimbrial chaperone YadV
AABHNHAC_00135	CDS	585	yadN			putative fimbrial-like protein YadN
AABHNHAC_00136	CDS	480	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
AABHNHAC_00137	CDS	1365	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
AABHNHAC_00138	CDS	927	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
AABHNHAC_00139	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
AABHNHAC_00140	CDS	705	sfsA		COG1489	Sugar fermentation stimulation protein A
AABHNHAC_00141	CDS	531	thpR	3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
AABHNHAC_00142	CDS	2430	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
AABHNHAC_00143	CDS	2535	mrcB		COG0744	Penicillin-binding protein 1B
AABHNHAC_00144	CDS	2244	fhuA		COG1629	Ferrichrome outer membrane transporter/phage receptor
AABHNHAC_00145	CDS	798	fhuC	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
AABHNHAC_00146	CDS	891	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
AABHNHAC_00147	CDS	1983	fhuB		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
AABHNHAC_00148	CDS	1281	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
AABHNHAC_00149	CDS	1422	clcA			H(+)/Cl(-) exchange transporter ClcA
AABHNHAC_00150	CDS	345	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
AABHNHAC_00151	CDS	624				hypothetical protein
AABHNHAC_00152	CDS	801	btuF		COG0614	Vitamin B12-binding protein
AABHNHAC_00153	CDS	699	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
AABHNHAC_00154	CDS	1518	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
AABHNHAC_00155	CDS	1425	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
AABHNHAC_00156	CDS	1158	cdaR		COG3835	Carbohydrate diacid regulator
AABHNHAC_00157	CDS	387				hypothetical protein
AABHNHAC_00158	CDS	744	lpxG	3.6.1.-	COG1408	UDP-2,3-diacylglucosamine pyrophosphatase LpxG
AABHNHAC_00159	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
AABHNHAC_00160	CDS	2673	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
AABHNHAC_00161	CDS	795	map	3.4.11.18	COG0024	Methionine aminopeptidase
AABHNHAC_00162	CDS	726	rpsB		COG0052	30S ribosomal protein S2
AABHNHAC_00163	CDS	852	tsf		COG0264	Elongation factor Ts
AABHNHAC_00164	CDS	726	pyrH	2.7.4.22	COG0528	Uridylate kinase
AABHNHAC_00165	CDS	558	frr		COG0233	Ribosome-recycling factor
AABHNHAC_00166	CDS	1197	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
AABHNHAC_00167	CDS	759	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
AABHNHAC_00168	CDS	153				hypothetical protein
AABHNHAC_00169	CDS	750	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
AABHNHAC_00170	CDS	1353	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
AABHNHAC_00171	CDS	2433	bamA		COG4775	Outer membrane protein assembly factor BamA
AABHNHAC_00172	CDS	486	skp		COG2825	Chaperone protein Skp
AABHNHAC_00173	CDS	1026	lpxD_1	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
AABHNHAC_00174	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
AABHNHAC_00175	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
AABHNHAC_00176	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
AABHNHAC_00177	CDS	597	rnhB	3.1.26.4	COG0164	Ribonuclease HII
AABHNHAC_00178	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
AABHNHAC_00179	CDS	960	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
AABHNHAC_00180	CDS	2142	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
AABHNHAC_00181	CDS	390				hypothetical protein
AABHNHAC_00182	CDS	1299	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
AABHNHAC_00183	CDS	261	rof		COG4568	Protein rof
AABHNHAC_00184	CDS	201				hypothetical protein
AABHNHAC_00185	CDS	546	yaeQ		COG4681	putative protein YaeQ
AABHNHAC_00186	CDS	423	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
AABHNHAC_00187	CDS	711	nlpE		COG3015	Lipoprotein NlpE
AABHNHAC_00188	CDS	825				hypothetical protein
AABHNHAC_00189	CDS	1719	proS	6.1.1.15	COG0442	Proline--tRNA ligase
AABHNHAC_00190	CDS	708	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
AABHNHAC_00191	CDS	405	rcsF			Outer membrane lipoprotein RcsF
AABHNHAC_00192	CDS	816	metQ		COG1464	D-methionine-binding lipoprotein MetQ
AABHNHAC_00193	CDS	654	metI		COG2011	D-methionine transport system permease protein MetI
AABHNHAC_00194	CDS	1032	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
AABHNHAC_00195	CDS	576	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
AABHNHAC_00196	rRNA	1538				16S ribosomal RNA
AABHNHAC_00197	tRNA	77				tRNA-Ile(gat)
AABHNHAC_00198	tRNA	76				tRNA-Ala(tgc)
AABHNHAC_00199	rRNA	2901				23S ribosomal RNA
AABHNHAC_00200	rRNA	111				5S ribosomal RNA
AABHNHAC_00201	tRNA	77				tRNA-Asp(gtc)
AABHNHAC_00202	CDS	804	dkgB	1.1.1.346	COG0656	2,5-diketo-D-gluconic acid reductase B
AABHNHAC_00203	CDS	915	dmlR_1			HTH-type transcriptional regulator DmlR
AABHNHAC_00204	CDS	780				hypothetical protein
AABHNHAC_00205	CDS	624	ycgJ	2.1.1.-		putative methyltransferase YcgJ
AABHNHAC_00206	CDS	1221	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
AABHNHAC_00207	CDS	756	gloB	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloB
AABHNHAC_00208	CDS	723				hypothetical protein
AABHNHAC_00209	CDS	468	rnhA	3.1.26.4	COG0328	Ribonuclease HI
AABHNHAC_00210	CDS	741	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
AABHNHAC_00211	tRNA	77				tRNA-Asp(gtc)
AABHNHAC_00212	CDS	786				hypothetical protein
AABHNHAC_00213	CDS	480				hypothetical protein
AABHNHAC_00214	CDS	339				hypothetical protein
AABHNHAC_00215	CDS	771	yafV	3.5.1.3		Omega-amidase YafV
AABHNHAC_00216	CDS	447	ivy			Inhibitor of vertebrate lysozyme
AABHNHAC_00217	CDS	2445	fadE	1.3.8.7	COG1960	Acyl-coenzyme A dehydrogenase
AABHNHAC_00218	CDS	579	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
AABHNHAC_00219	CDS	768	yafJ	2.4.2.-	COG0121	Putative glutamine amidotransferase YafJ
AABHNHAC_00220	CDS	741				hypothetical protein
AABHNHAC_00221	CDS	279	yafQ	3.1.-.-	COG3041	mRNA interferase toxin YafQ
AABHNHAC_00222	CDS	261	dinJ		COG3077	Antitoxin DinJ
AABHNHAC_00223	CDS	627				hypothetical protein
AABHNHAC_00224	CDS	498	rayT		COG1943	REP-associated tyrosine transposase
AABHNHAC_00225	CDS	1740	flhA_1		COG1298	Flagellar biosynthesis protein FlhA
AABHNHAC_00226	CDS	636	lafU		COG1360	Chemotaxis protein LafU
AABHNHAC_00227	CDS	1056	dinB	2.7.7.7	COG0389	DNA polymerase IV
AABHNHAC_00228	CDS	294	yafN		COG2161	Antitoxin YafN
AABHNHAC_00229	CDS	399	yafO	3.1.-.-		mRNA interferase toxin YafO
AABHNHAC_00230	CDS	375	yafP	2.3.1.-	COG0454	putative N-acetyltransferase YafP
AABHNHAC_00231	CDS	267				hypothetical protein
AABHNHAC_00232	CDS	501	prfB_1			Peptide chain release factor 2
AABHNHAC_00233	CDS	1458	pepD	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
AABHNHAC_00234	CDS	459	gpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
AABHNHAC_00235	CDS	1245				hypothetical protein
AABHNHAC_00236	CDS	378			COG1662	IS1 family transposase IS1A
AABHNHAC_00237	CDS	276			COG1662	IS1 family transposase IS1A
AABHNHAC_00238	CDS	273	crl			Sigma factor-binding protein Crl
AABHNHAC_00239	CDS	1056	phoE		COG3203	Outer membrane porin PhoE
AABHNHAC_00240	CDS	1104	proB	2.7.2.11	COG0263	Glutamate 5-kinase
AABHNHAC_00241	CDS	1254	proA_1	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
AABHNHAC_00242	tRNA	76				tRNA-Thr(cgt)
AABHNHAC_00243	CDS	105				hypothetical protein
AABHNHAC_00244	CDS	342	ykfI			Toxin YkfI
AABHNHAC_00245	CDS	318	yafW			Antitoxin YafW
AABHNHAC_00246	CDS	222				hypothetical protein
AABHNHAC_00247	CDS	477				hypothetical protein
AABHNHAC_00248	CDS	459	klcA_1			Antirestriction protein KlcA
AABHNHAC_00249	CDS	240				hypothetical protein
AABHNHAC_00250	CDS	468				hypothetical protein
AABHNHAC_00251	CDS	858				hypothetical protein
AABHNHAC_00252	CDS	822				hypothetical protein
AABHNHAC_00253	CDS	864	era_1			GTPase Era
AABHNHAC_00254	CDS	894	perR			HTH-type transcriptional regulator PerR
AABHNHAC_00255	CDS	369				hypothetical protein
AABHNHAC_00256	CDS	1152			COG2826	IS30 family transposase IS30
AABHNHAC_00257	CDS	240				hypothetical protein
AABHNHAC_00258	CDS	1146	ltrA		COG3344	Group II intron-encoded protein LtrA
AABHNHAC_00259	CDS	981			COG3039	IS5 family transposase IS5
AABHNHAC_00260	CDS	90				hypothetical protein
AABHNHAC_00261	CDS	1428	rocC		COG0833	Amino-acid permease RocC
AABHNHAC_00262	CDS	933	mmuM	2.1.1.10	COG2040	Homocysteine S-methyltransferase
AABHNHAC_00263	CDS	1047	ugpC_1	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
AABHNHAC_00264	CDS	363				hypothetical protein
AABHNHAC_00265	CDS	378			COG1662	IS1 family transposase IS1R
AABHNHAC_00266	CDS	276			COG1662	IS1 family transposase IS1D
AABHNHAC_00267	CDS	339				IS3 family transposase ISEhe3
AABHNHAC_00268	CDS	351	yfjZ_1			Antitoxin YfjZ
AABHNHAC_00269	CDS	1143				IS481 family transposase ISEc19
AABHNHAC_00270	CDS	909	yagE	4.1.2.51	COG0329	Putative 2-dehydro-3-deoxy-D-gluconate aldolase YagE
AABHNHAC_00271	CDS	1968	yagF	4.2.1.82	COG0129	D-xylonate dehydratase YagF
AABHNHAC_00272	CDS	1383	yagG		COG2211	Putative glycoside/cation symporter YagG
AABHNHAC_00273	CDS	1611	xynB	3.2.1.37	COG3507	Beta-xylosidase
AABHNHAC_00274	CDS	759	xynR		COG1414	HTH-type transcriptional regulator XynR
AABHNHAC_00275	CDS	1005	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase subunit F
AABHNHAC_00276	CDS	378			COG1662	IS1 family transposase IS1R
AABHNHAC_00277	CDS	276			COG1662	IS1 family transposase IS1D
AABHNHAC_00278	CDS	732				hypothetical protein
AABHNHAC_00279	CDS	627				hypothetical protein
AABHNHAC_00280	CDS	699				hypothetical protein
AABHNHAC_00281	CDS	855				hypothetical protein
AABHNHAC_00282	CDS	225	ykgV			Protein YkgV
AABHNHAC_00283	CDS	441				hypothetical protein
AABHNHAC_00284	CDS	1326	xerC_1			Tyrosine recombinase XerC
AABHNHAC_00285	CDS	411				hypothetical protein
AABHNHAC_00286	CDS	957	paoD		COG1975	Molybdenum cofactor insertion chaperone PaoD
AABHNHAC_00287	CDS	2199	paoC	1.2.99.6	COG1529	Aldehyde oxidoreductase molybdenum-binding subunit PaoC
AABHNHAC_00288	CDS	957	paoB	1.2.99.6	COG1319	Aldehyde oxidoreductase FAD-binding subunit PaoB
AABHNHAC_00289	CDS	690	paoA	1.2.99.6	COG2080	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA
AABHNHAC_00290	CDS	615	yagU		COG3477	Inner membrane protein YagU
AABHNHAC_00291	CDS	711	ecpE			putative fimbrial chaperone EcpE
AABHNHAC_00292	CDS	1644	ecpD			Fimbria adhesin EcpD
AABHNHAC_00293	CDS	2526	ecpC			putative outer membrane usher protein EcpC
AABHNHAC_00294	CDS	669	ecpB			putative fimbrial chaperone EcpB
AABHNHAC_00295	CDS	588	ecpA			Common pilus major fimbrillin subunit EcpA
AABHNHAC_00296	CDS	543	ecpR			HTH-type transcriptional regulator EcpR
AABHNHAC_00297	CDS	141	ykgO		COG0257	50S ribosomal protein L36 2
AABHNHAC_00298	CDS	267	ykgM		COG0254	50S ribosomal protein L31 type B
AABHNHAC_00299	CDS	102	ykgR			putative membrane protein YkgR
AABHNHAC_00300	CDS	888				hypothetical protein
AABHNHAC_00301	CDS	300				IS3 family transposase ISEc17
AABHNHAC_00302	CDS	867				IS3 family transposase IS3
AABHNHAC_00303	CDS	687	rhaR_1			HTH-type transcriptional activator RhaR
AABHNHAC_00304	CDS	594	rclC		COG3059	Inner membrane protein RclC
AABHNHAC_00305	CDS	1326	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
AABHNHAC_00306	CDS	855	rclR		COG2207	RCS-specific HTH-type transcriptional activator RclR
AABHNHAC_00307	CDS	720	lutA_1		COG0247	Lactate utilization protein A
AABHNHAC_00308	CDS	1428	lutB		COG1139	Lactate utilization protein B
AABHNHAC_00309	CDS	696	lutC		COG1556	Lactate utilization protein C
AABHNHAC_00310	CDS	669				hypothetical protein
AABHNHAC_00311	CDS	1671	betA	1.1.99.1	COG2303	Oxygen-dependent choline dehydrogenase
AABHNHAC_00312	CDS	1473	betB	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
AABHNHAC_00313	CDS	588	betI		COG1309	HTH-type transcriptional regulator BetI
AABHNHAC_00314	CDS	2034	betT		COG1292	High-affinity choline transport protein
AABHNHAC_00315	CDS	1089	pdeL	3.1.4.52	COG2200	Cyclic di-GMP phosphodiesterase PdeL
AABHNHAC_00316	CDS	933	yahB_1			putative HTH-type transcriptional regulator YahB
AABHNHAC_00317	CDS	498				hypothetical protein
AABHNHAC_00318	CDS	606				hypothetical protein
AABHNHAC_00319	CDS	864				hypothetical protein
AABHNHAC_00320	CDS	1548	fdrA_1		COG0074	Protein FdrA
AABHNHAC_00321	CDS	1419				hypothetical protein
AABHNHAC_00322	CDS	321				hypothetical protein
AABHNHAC_00323	CDS	951	arcC2_1	2.7.2.2		Carbamate kinase 2
